--- Product ---
id,name,description,shortDescription,imageBaseUrl
id,name,description,imageBaseUrl,shortDescription

--- ProductVariant ---
id,color,stock,price,productId,imageUrl
1,Gris,180,60.00,1,https://bacpak-products.s3.us-east-2.amazonaws.com/b2a7589d-7b24-4f51-b8f9-9a7c36c641a9.png
2,Azul/Rojo,220,58.00,2,https://bacpak-products.s3.us-east-2.amazonaws.com/c5d18a1a-4e2b-4e8c-85d7-45b7367c3b1d.png
3,Rojo/Amarillo,200,56.00,3,https://bacpak-products.s3.us-east-2.amazonaws.com/c6e3b0b7-8d8a-4c29-8e93-9c86a32d667c.png
4,Azul,190,62.00,4,https://bacpak-products.s3.us-east-2.amazonaws.com/9a5a3150-5b12-4c28-98e8-b7c1265b40d7.png
5,Azul Marino,150,65.00,5,https://bacpak-products.s3.us-east-2.amazonaws.com/1a783617-38b8-4c8a-9f0a-4a2592a8d3e9.png
6,Turquesa,250,55.00,6,https://bacpak-products.s3.us-east-2.amazonaws.com/c7a1d5a9-3d12-4e4b-b0b9-2c78a994c65e.png
7,Gris/Verde,170,59.00,7,https://bacpak-products.s3.us-east-2.amazonaws.com/7a151b68-6364-4e4b-97e3-085e7960d7b1.png
8,Verde Lima,210,61.00,8,https://bacpak-products.s3.us-east-2.amazonaws.com/d5a840e6-5f5c-4d37-83c7-434a9466c4a8.png
9,Naranja,230,54.00,9,https://bacpak-products.s3.us-east-2.amazonaws.com/a9c1234b-4a5a-4b96-b0e6-6c84c8a0b12c.png
10,Azul/Rojo,160,70.00,10,https://bacpak-products.s3.us-east-2.amazonaws.com/5038011f-c777-4a95-9ff1-12282e587e82.png
